Item;Qty;Reference(s);Value;Description;LINK;PN1;Price1 $;;Preço R$
1;3;C2, C6, C11;1uF;;https://br.mouser.com/ProductDetail/Murata-Electronics/GRM155R61C105KA12D?qs=MNX0Jdkv8mRzFdIwfsySnw%3D%3D;GRM155R61C105KA12D;0,1;0,3;
2;2;C3, C4;10pF;;https://br.mouser.com/ProductDetail/KEMET/C0402C100K5RACTU?qs=Mv7BduZupUgEdPvwNAxLRQ%3D%3D;C0402C100K5RACTU;0,13;0,26;
3;1;C7;10uF;;https://www.mouser.com/ProductDetail/Murata-Electronics/GRM188R61E106KA73D?qs=5aG0NVq1C4z8ebxPkQZf9A%3D%3D;GRM188R61E106KA73D;0,3;0,3;
4;2;C8, C18;10nF;;https://www.mouser.com/ProductDetail/Murata-Electronics/GRM155R71H103KA88D?qs=Dfh4SrgScWxOVlCuzd3ZyQ%3D%3D;GRM155R71H103KA88D;0,1;0,2;
5;7;C9, C10, C12, C13, C16, C20, C21;100nF;;https://br.mouser.com/ProductDetail/Murata-Electronics/GCM155R71H104KE02J?qs=hNud%2FORuBR1wlwGPFWBVDg%3D%3D;GCM155R71H104KE02J;0,13;0,91;
6;2;C14, C15;10uF;;https://www.mouser.com/ProductDetail/Murata-Electronics/GRM21BR61H106KE43K?qs=xZ%2FP%252Ba9zWqbh3%252B96jyTKxw%3D%3D;GRM21BR61H106KE43K;0,4;0,8;
7;2;C17, C19;4.7uF;;https://br.mouser.com/ProductDetail/Murata-Electronics/GRM188Z71C475KE21D?qs=d0WKAl%252BL4KajNOvalhHKtQ%3D%3D;GRM188Z71C475KE21D;0,31;0,62;
8;1;D1;ESD;;https://br.mouser.com/ProductDetail/onsemi/SZESD9B33ST5G?qs=k6dkFvHqcvB0oAAsSAA7mQ%3D%3D;SZESD9B3.3ST5G;0,4;0,4;
9;2;D2, D4;LED;;https://pt.aliexpress.com/item/32848822296.html?spm=a2g0o.productlist.0.0.64da466ay8rvc9&algo_pvid=9cb7f3b6-9d1a-4f99-8519-e142d2a424dc&algo_exp_id=9cb7f3b6-9d1a-4f99-8519-e142d2a424dc-1&pdp_ext_f=%7B%22sku_id%22%3A%2210000001198835222%22%7D&pdp_pi=-1%3B4.3%3B-1%3B-1%40salePrice%3BBRL%3Bsearch-mainSearch;LED;;0;100 UNIDADES (4,4 + 15)
10;1;D3;PMEG2005EGWX;;https://br.mouser.com/ProductDetail/Nexperia/PMEG2005EGWX?qs=EO%252B2iqeaG002IDp7lV8MpA%3D%3D;PMEG2005EGWX;0,34;0,34;
